Farmer ID,Farmer Name,Location,GPS Coordinates,Date of Registration,Farming Method,Irrigation Method,Training Received,Mango Trees (0–3 yrs),Mango Trees (3–5 yrs),Mango Trees (5+ yrs),Hass Trees (0–3 yrs),Hass Trees (3–5 yrs),Hass Trees (5+ yrs),Fuerte Trees (0–3 yrs),Fuerte Trees (3–5 yrs),Fuerte Trees (5+ yrs),Pixie Trees (0–3 yrs),Pixie Trees (3–5 yrs),Pixie Trees (5+ yrs),Mango Season 1,Mango Season 2,Mango Season 3,Hass Season 1,Hass Season 2,Hass Season 3,Fuerte Season 1,Fuerte Season 2,Fuerte Season 3,Pixie Season 1,Pixie Season 2,Pixie Season 3,Total Trees,Latitude,Longitude
F116,Amanda Young,Kalawa,"-2.405322, 37.979873",2024-10-27,Organic,Irrigated,Yes,25,22,12,3,0,15,2,0,0,0,0,0,386,738,742,345,720,375,0,0,0,0,0,0,79,-2.405322,37.979873
F117,Lynn Smith,Makindu,"-1.760594, 37.553554",2021-11-10,Conventional,Irrigated,Yes,0,35,11,0,23,18,27,0,26,17,7,0,963,794,735,870,912,1006,702,676,728,77,63,49,164,-1.760594,37.553554
F118,Mary Berger,Kitise,"-1.662937, 38.053116",2023-06-17,Conventional,Rain-fed,No,7,0,30,12,0,7,4,17,16,17,10,0,930,690,1050,350,301,147,841,661,811,100,70,60,120,-1.662937,38.053116
F119,Joanna Pearson,Kibwezi,"-1.974297, 37.24955",2020-02-11,Conventional,Irrigated,Yes,31,36,0,0,22,8,3,0,12,0,0,0,324,252,324,532,706,404,600,396,324,0,0,0,112,-1.974297,37.24955
F120,Grant Cummings,Nziu,"-2.310406, 37.574461",2022-05-06,Organic,Rain-fed,No,29,0,9,8,3,19,0,0,26,0,10,3,324,225,297,822,401,895,598,1066,806,274,143,278,107,-2.310406,37.574461
F121,Gloria Heath,Nguu,"-1.202535, 37.397406",2022-11-24,Organic,Irrigated,No,10,14,11,31,14,0,21,11,11,0,0,0,702,554,636,84,70,196,473,374,374,0,0,0,123,-1.202535,37.397406
F122,Aaron Lee,Emali,"-1.201878, 38.133934",2025-09-12,Conventional,Rain-fed,Yes,29,91,0,19,30,0,19,47,0,0,0,0,1183,728,1001,270,300,270,423,517,658,0,0,0,235,-1.201878,38.133934
F123,Catherine Morgan,Nzaui,"-1.375693, 37.237356",2025-12-25,Conventional,Rain-fed,No,7,51,33,9,37,44,0,0,0,0,0,0,1404,1782,1446,1713,1588,1882,0,0,0,0,0,0,181,-1.375693,37.237356
F124,Douglas Mullins,Nguu,"-1.492315, 37.599719",2021-07-10,Conventional,Rain-fed,Yes,32,5,25,3,28,37,0,36,26,0,1,0,840,765,565,2084,1796,2000,1726,1378,700,14,5,11,193,-1.492315,37.599719
F125,John Morton,Kyemole,"-1.360242, 37.684805",2024-10-30,Conventional,Rain-fed,Yes,42,0,5,20,33,27,10,10,12,0,0,0,175,180,155,1731,1083,1101,326,440,540,0,0,0,159,-1.360242,37.684805
F126,Melanie Perry,Kasikeu,"-2.455727, 37.778619",2020-02-18,Organic,Rain-fed,No,0,73,8,26,8,32,1,23,25,0,0,0,1260,1163,1075,1544,1352,1240,1232,1255,1055,0,0,0,196,-2.455727,37.778619
F127,Cheryl Irwin,Mtito Andei,"-1.980712, 37.583134",2023-02-22,Organic,Irrigated,No,22,28,0,2,1,13,0,16,4,0,0,0,364,420,140,590,454,532,212,232,344,0,0,0,86,-1.980712,37.583134
F128,Sean Odonnell,Nziu,"-2.179758, 37.394209",2020-08-12,Conventional,Rain-fed,No,50,19,33,28,33,0,28,20,0,0,2,0,1576,774,1604,297,495,495,260,140,100,10,14,14,213,-2.179758,37.394209
F129,Paul Williams,Kyemole,"-1.528746, 38.199793",2021-09-26,Organic,Irrigated,Yes,26,86,0,5,27,38,0,0,32,1,14,0,946,1204,1118,1785,2197,1242,704,992,1536,98,112,84,229,-1.528746,38.199793
F130,Joseph Morgan,Kibwezi,"-2.179697, 37.750253",2025-11-30,Conventional,Rain-fed,Yes,20,13,0,0,0,16,15,0,1,0,0,0,156,195,156,416,800,320,22,25,31,0,0,0,65,-2.179697,37.750253
F131,Brady Davis,Ukia,"-1.752312, 37.391622",2024-06-21,Organic,Irrigated,No,47,2,0,13,0,0,8,0,22,1,4,13,22,10,16,0,0,0,638,704,1056,538,569,644,110,-1.752312,37.391622
F132,Cameron Buckley,Kilungu,"-1.286915, 38.124867",2024-07-12,Conventional,Rain-fed,Yes,0,22,23,4,0,0,0,10,0,0,11,9,793,931,1070,0,0,0,50,130,150,332,478,372,79,-1.286915,38.124867
F133,Darryl Bell,Nzaui,"-1.280576, 38.088832",2020-05-14,Conventional,Rain-fed,No,3,17,29,0,0,0,0,17,4,5,12,7,1407,810,1596,0,0,0,279,309,340,356,350,416,94,-1.280576,38.088832
F134,Alicia Benitez,Kathonzweni,"-2.395553, 37.626229",2024-02-12,Conventional,Rain-fed,No,60,1,10,35,38,12,2,21,0,0,0,0,283,409,276,580,800,904,189,315,231,0,0,0,179,-2.395553,37.626229
F135,Dana Odonnell,Kibwezi,"-1.205034, 38.046097",2023-02-01,Organic,Rain-fed,No,49,30,22,27,0,36,14,12,28,0,0,0,1380,882,1408,1116,1080,1440,1448,852,924,0,0,0,218,-1.205034,38.046097
F136,Todd Park,Kibwezi,"-2.032701, 37.945025",2024-12-02,Conventional,Irrigated,Yes,44,52,0,0,1,16,17,7,3,8,5,0,416,260,520,590,645,517,134,173,164,75,50,40,153,-2.032701,37.945025
F137,Travis Davis,Emali,"-1.818772, 37.896985",2023-07-07,Conventional,Irrigated,No,63,17,17,12,27,34,6,0,20,0,0,0,578,782,952,2044,1780,1310,940,640,660,0,0,0,196,-1.818772,37.896985
F138,Stuart Walker,Kasikeu,"-1.839921, 37.851532",2023-11-08,Organic,Rain-fed,No,0,17,19,0,0,5,4,2,10,0,0,0,850,609,706,240,200,120,282,268,244,0,0,0,57,-1.839921,37.851532
F139,Brenda Jimenez,Emali,"-1.829024, 37.59021",2023-11-25,Organic,Irrigated,No,32,0,60,0,0,0,30,38,41,0,0,0,1260,1860,3000,0,0,0,2465,1326,1686,0,0,0,201,-1.829024,37.59021
F140,Elizabeth Summers,Ukia,"-2.296609, 38.029213",2024-12-07,Organic,Irrigated,Yes,34,0,0,41,35,0,12,0,50,16,21,18,0,0,0,525,350,350,1950,2300,1650,924,849,669,227,-2.296609,38.029213
F141,Eric Sutton,Emali,"-1.27626, 37.849133",2022-05-11,Conventional,Rain-fed,No,0,18,50,3,48,0,5,55,40,0,0,31,1694,2516,2170,720,576,240,1490,2620,2215,837,1023,837,250,-1.27626,37.849133
F142,Elizabeth Phillips,Wote,"-2.457349, 37.99084",2025-04-06,Conventional,Rain-fed,No,33,4,3,10,10,0,24,12,8,0,0,0,182,180,89,120,50,70,296,496,324,0,0,0,104,-2.457349,37.99084
F143,Karen Harvey,Kitise,"-1.202445, 37.853849",2023-05-24,Organic,Irrigated,Yes,35,9,23,0,0,0,13,0,4,13,9,4,1060,693,1126,0,0,0,108,160,172,169,258,331,110,-1.202445,37.853849
F144,Daniel Lucas,Kibwezi,"-1.846261, 37.458486",2023-02-23,Conventional,Irrigated,No,7,3,20,0,5,11,3,0,0,0,6,9,958,941,1030,435,350,369,0,0,0,294,414,375,64,-1.846261,37.458486
F145,Seth Weber,Kalawa,"-2.258846, 37.226026",2023-09-09,Organic,Rain-fed,No,28,7,56,0,18,1,3,8,20,0,0,0,1750,2058,2884,256,302,148,960,768,604,0,0,0,141,-2.258846,37.226026
F146,Crystal Morse DDS,Nzaui,"-1.376466, 38.072001",2024-09-18,Organic,Irrigated,No,0,13,12,0,3,6,5,7,0,4,0,5,685,583,528,204,237,174,70,56,56,140,160,220,55,-1.376466,38.072001
F147,Jordan Lopez,Kyemole,"-2.241152, 37.952623",2025-12-23,Conventional,Irrigated,No,26,24,2,28,0,25,0,2,9,2,0,19,278,344,192,900,1050,900,426,364,242,551,608,513,137,-2.241152,37.952623
F148,Kara Shea,Ukia,"-2.058122, 38.066093",2024-08-05,Conventional,Rain-fed,Yes,23,7,11,0,0,17,5,0,5,9,0,0,487,415,514,340,459,799,135,175,215,0,0,0,77,-2.058122,38.066093
F149,Micheal Nash,Makindu,"-1.323925, 38.102377",2021-12-23,Organic,Irrigated,No,0,13,82,0,21,0,35,49,0,21,5,4,1800,3121,3984,210,210,231,245,735,343,186,198,137,230,-1.323925,38.102377
F150,Samantha Munoz,Kathonzweni,"-1.342846, 38.035341",2025-09-16,Organic,Rain-fed,Yes,0,24,1,8,0,0,0,5,13,6,9,12,204,199,187,0,0,0,454,552,659,411,708,513,78,-1.342846,38.035341
F151,Mrs. Colleen Meyer,Thange,"-1.933692, 37.974391",2022-06-02,Conventional,Rain-fed,No,19,14,6,7,0,7,6,5,0,0,0,0,294,326,360,231,196,343,65,55,55,0,0,0,64,-1.933692,37.974391
F152,Brooke Smith,Kibwezi,"-2.385471, 37.730083",2024-04-17,Conventional,Rain-fed,No,15,27,0,17,6,11,11,2,13,0,0,0,189,270,243,408,324,307,510,365,488,0,0,0,102,-2.385471,37.730083
F153,Jennifer Neal,Mtito Andei,"-1.32581, 37.886384",2024-12-26,Conventional,Irrigated,Yes,0,0,67,19,37,20,21,14,42,0,0,0,1340,3015,3015,1187,819,716,1694,2072,1190,0,0,0,220,-1.32581,37.886384
F154,Dave Novak,Kalawa,"-1.302781, 38.193343",2022-10-31,Conventional,Irrigated,No,0,67,14,0,17,35,0,7,45,0,0,0,752,1341,1523,1918,939,942,1223,2306,1025,0,0,0,185,-1.302781,38.193343
F155,Emily Carrillo,Mbooni,"-1.583057, 37.677266",2025-05-07,Conventional,Irrigated,Yes,30,23,8,7,17,12,0,6,0,0,0,0,385,531,526,561,627,458,90,48,30,0,0,0,103,-1.583057,37.677266
F156,Brooke Tyler,Kibwezi,"-2.340094, 37.478253",2025-01-12,Conventional,Rain-fed,No,24,59,0,11,0,22,3,0,33,0,0,0,649,531,885,748,616,792,726,726,1122,0,0,0,152,-2.340094,37.478253
F157,Kimberly Peterson,Kilungu,"-1.434955, 38.105839",2023-06-24,Conventional,Rain-fed,No,0,38,72,45,0,52,0,22,10,0,0,0,3108,2748,2498,2392,1768,1924,480,694,748,0,0,0,239,-1.434955,38.105839
F158,John Wright,Kasikeu,"-1.940735, 38.09083",2021-03-12,Organic,Rain-fed,Yes,1,5,43,0,9,37,8,22,4,0,3,17,1014,1537,2157,1357,988,1079,312,328,244,514,657,418,149,-1.940735,38.09083
F159,Mary George,Kalawa,"-2.078601, 38.079258",2022-12-08,Conventional,Irrigated,Yes,55,0,46,32,26,6,0,0,0,0,0,0,1886,1104,1288,328,334,458,0,0,0,0,0,0,165,-2.078601,38.079258
F160,Jennifer Guzman,Nzaui,"-1.728403, 37.866568",2023-02-20,Conventional,Rain-fed,No,19,14,16,22,10,6,7,8,22,1,0,3,580,780,508,342,256,386,946,876,802,90,141,123,128,-1.728403,37.866568
F161,Matthew Ramirez,Sultan Hamud,"-1.21093, 38.197424",2025-06-18,Conventional,Irrigated,No,0,9,49,17,2,0,34,11,0,0,30,1,1213,1507,1939,14,20,16,55,154,143,196,303,256,153,-1.21093,38.197424
F162,Edward Guerra,Ukia,"-2.310994, 37.551884",2023-04-25,Conventional,Rain-fed,No,13,12,43,20,23,22,0,21,25,0,0,0,1479,1054,1577,1172,848,1049,847,1419,1177,0,0,0,179,-2.310994,37.551884
F163,Aaron Strickland,Kyemole,"-1.864757, 37.817537",2023-07-03,Organic,Rain-fed,Yes,3,14,9,17,29,35,4,19,60,0,0,0,309,418,486,1650,1329,1825,1526,1965,1466,0,0,0,190,-1.864757,37.817537
F164,Richard Robertson,Mtito Andei,"-2.473693, 37.348094",2024-06-22,Conventional,Irrigated,Yes,19,18,0,4,0,11,0,1,2,0,0,0,162,270,126,308,308,550,56,48,96,0,0,0,55,-2.473693,37.348094
F165,Melissa Henderson,Kibwezi,"-2.433138, 38.024567",2020-12-25,Organic,Irrigated,Yes,52,42,37,0,42,0,0,1,20,0,0,0,1804,1915,1103,588,378,462,468,567,605,0,0,0,194,-2.433138,38.024567
F166,Cheryl Wright,Mbooni,"-1.247389, 37.985521",2021-01-15,Conventional,Irrigated,Yes,68,21,18,50,0,17,0,0,37,0,26,0,1137,648,1047,578,510,595,1036,740,888,286,260,234,237,-1.247389,37.985521
F167,Joshua Diaz,Nguu,"-1.392464, 37.887189",2022-11-16,Conventional,Rain-fed,Yes,43,52,57,0,0,0,0,0,8,0,0,0,1628,3147,3179,0,0,0,280,184,368,0,0,0,160,-1.392464,37.887189
F168,James Robinson,Kyemole,"-1.561355, 37.81487",2022-12-31,Organic,Irrigated,Yes,37,60,6,0,22,42,0,1,19,0,22,0,906,966,1056,2044,1254,1560,388,596,946,286,330,110,209,-1.561355,37.81487
F169,Jessica Brown,Nzaui,"-1.757294, 37.496116",2021-12-06,Conventional,Rain-fed,No,0,29,25,28,4,6,1,0,1,10,4,6,985,848,1448,238,210,260,20,35,41,350,260,292,114,-1.757294,37.496116
F170,Richard Smith,Wote,"-2.401576, 37.460106",2022-02-22,Organic,Rain-fed,No,36,13,76,6,14,8,0,14,33,0,0,0,2371,3387,2321,430,436,408,1771,1186,1008,0,0,0,200,-2.401576,37.460106
F171,Colin Fisher,Kilungu,"-2.379105, 37.323066",2022-10-07,Organic,Irrigated,No,55,5,69,40,12,0,0,14,0,0,0,0,2307,2342,2519,168,168,168,70,70,84,0,0,0,195,-2.379105,37.323066
F172,Richard Ward,Kathonzweni,"-1.996678, 37.397948",2022-05-01,Conventional,Irrigated,No,41,39,16,9,17,5,46,1,56,0,0,0,995,1275,785,311,232,407,1862,2643,1524,0,0,0,230,-1.996678,37.397948
F173,Renee Weaver,Nguu,"-1.544633, 37.398179",2023-12-30,Organic,Irrigated,No,35,9,0,16,22,12,19,0,0,0,2,5,54,126,54,454,440,590,0,0,0,136,146,197,120,-1.544633,37.398179
F174,Christine Nguyen,Kathonzweni,"-1.731101, 37.517898",2020-05-02,Organic,Rain-fed,Yes,30,32,50,0,0,7,0,18,27,0,0,0,2124,2574,2038,175,238,154,630,1161,1170,0,0,0,164,-1.731101,37.517898
F175,Jacob Nguyen,Nzaui,"-2.111718, 37.986509",2021-10-25,Conventional,Rain-fed,Yes,67,0,39,31,12,36,0,28,0,0,0,0,1560,1014,975,1332,1596,1032,140,280,196,0,0,0,213,-2.111718,37.986509
F176,Amber Bowman,Ukia,"-2.247086, 37.780256",2024-12-29,Organic,Irrigated,Yes,45,71,0,25,2,39,28,0,17,0,0,0,923,994,994,843,1266,1473,340,374,357,0,0,0,227,-2.247086,37.780256
F177,Michael Hunter,Thange,"-1.428435, 37.399566",2025-06-14,Organic,Irrigated,Yes,9,0,19,15,8,0,0,0,5,7,1,0,380,608,456,120,48,112,215,235,115,13,7,8,64,-1.428435,37.399566
F178,Courtney Thompson,Kalawa,"-2.109367, 37.311764",2020-04-08,Organic,Irrigated,No,5,8,23,8,3,0,12,8,0,1,7,0,609,963,779,18,36,24,56,56,96,42,84,70,75,-2.109367,37.311764
F179,William Zimmerman,Kalawa,"-2.098498, 37.628804",2022-04-02,Conventional,Irrigated,Yes,17,8,40,6,10,12,12,11,0,0,0,0,1704,1952,1440,500,440,362,143,143,165,0,0,0,116,-2.098498,37.628804
F180,Cynthia Rodriguez,Nziu,"-2.328095, 37.551572",2023-10-12,Conventional,Irrigated,No,0,31,28,0,19,10,0,18,0,0,0,0,1293,1047,1085,487,452,565,90,108,180,0,0,0,106,-2.328095,37.551572
F181,James Jefferson,Nziu,"-1.750211, 38.084479",2020-04-03,Organic,Rain-fed,No,0,18,0,9,7,24,11,14,19,6,7,0,252,198,162,722,1051,1249,952,762,953,63,98,91,115,-1.750211,38.084479
F182,Stephen Myers,Kitise,"-2.202049, 37.86957",2025-03-08,Conventional,Irrigated,Yes,0,21,2,24,17,17,0,19,0,0,0,0,188,266,253,799,935,901,228,190,209,0,0,0,100,-2.202049,37.86957
F183,Philip Cabrera,Nziu,"-1.823918, 37.948984",2021-06-27,Conventional,Rain-fed,Yes,0,7,13,13,28,12,17,32,6,30,26,28,408,406,544,572,748,492,572,698,418,1482,826,1174,212,-1.823918,37.948984
F184,Stephen Bryan,Wote,"-2.156576, 37.438076",2024-03-29,Organic,Irrigated,No,0,1,25,4,10,19,10,0,2,0,0,0,606,560,531,719,772,604,62,40,58,0,0,0,71,-2.156576,37.438076
F185,Daniel Roberts,Kathonzweni,"-2.379647, 38.077093",2024-08-09,Conventional,Rain-fed,No,13,10,11,44,26,28,22,39,24,0,0,0,500,492,524,768,1626,856,1401,1353,810,0,0,0,217,-2.379647,38.077093
F186,Randy Watkins,Kitise,"-2.040955, 37.926079",2025-08-31,Organic,Irrigated,No,0,77,0,38,29,12,21,11,0,12,0,14,616,770,770,585,987,1011,88,77,55,322,588,560,214,-2.040955,37.926079
F187,Stephanie Parks,Kalawa,"-1.455863, 37.943081",2020-01-14,Organic,Rain-fed,No,50,10,13,0,27,0,15,0,20,15,9,0,737,714,561,270,189,351,460,1000,540,99,108,63,159,-1.455863,37.943081
F188,Derek Nielsen,Kilungu,"-1.274657, 37.767603",2024-02-09,Conventional,Irrigated,Yes,3,9,19,0,15,7,0,2,0,8,0,8,831,975,963,312,341,547,22,20,26,304,392,304,71,-1.274657,37.767603
F189,Carly Berg,Kalawa,"-1.574942, 37.854404",2022-02-05,Conventional,Irrigated,No,55,0,52,0,11,44,41,18,20,0,0,0,1612,1092,1404,2321,2189,1265,672,1270,1084,0,0,0,241,-1.574942,37.854404
F190,John Cherry,Kibwezi,"-1.603755, 37.285891",2025-03-20,Organic,Irrigated,Yes,19,17,64,17,28,0,28,0,25,11,0,19,1501,2043,3289,392,224,308,750,825,1225,513,950,418,228,-1.603755,37.285891
F191,Theresa Austin,Thange,"-2.303782, 37.447129",2024-10-22,Organic,Irrigated,Yes,44,62,9,10,0,2,0,3,0,9,24,19,1048,1182,1149,40,94,70,27,15,42,543,1006,1124,182,-2.303782,37.447129
F192,Laura Horton,Kasikeu,"-1.224943, 37.820783",2020-01-02,Organic,Rain-fed,No,57,55,0,4,29,34,0,29,0,0,0,0,605,825,660,1970,1412,2033,348,435,261,0,0,0,208,-1.224943,37.820783
F193,Cindy Salazar,Nguu,"-1.650355, 37.413159",2021-04-25,Conventional,Irrigated,No,11,0,17,13,9,14,11,0,3,0,0,0,391,833,578,770,803,605,69,120,87,0,0,0,78,-1.650355,37.413159
F194,Justin Nelson,Mtito Andei,"-2.362375, 37.925994",2023-11-27,Conventional,Rain-fed,Yes,4,10,30,3,15,0,0,18,12,0,0,0,1020,1450,1480,150,75,195,816,672,606,0,0,0,92,-2.362375,37.925994
F195,Sean Kane,Kasikeu,"-1.825302, 37.938291",2025-01-29,Organic,Rain-fed,No,13,35,0,0,10,19,13,5,0,0,0,0,420,175,490,853,773,852,40,45,40,0,0,0,95,-1.825302,37.938291
F196,David Lopez,Kilungu,"-2.029428, 37.466801",2020-12-09,Conventional,Irrigated,Yes,0,30,7,12,18,26,3,24,12,0,0,0,472,353,719,736,1080,672,588,636,576,0,0,0,132,-2.029428,37.466801
F197,Patricia Kelly,Nziu,"-2.138909, 37.331129",2020-12-23,Organic,Rain-fed,Yes,14,27,0,2,0,6,0,18,2,0,0,13,216,189,135,144,192,288,318,280,234,650,533,650,82,-2.138909,37.331129
F198,Patricia Donovan,Nziu,"-1.276944, 38.020183",2025-04-24,Organic,Rain-fed,No,15,8,6,0,3,8,0,5,5,0,0,0,292,320,346,362,370,280,285,270,225,0,0,0,50,-1.276944,38.020183
F199,James Gregory,Kyemole,"-2.014268, 37.604747",2021-03-25,Conventional,Rain-fed,No,20,0,65,32,10,32,0,4,0,0,0,0,2470,2210,2080,1080,1282,770,28,52,52,0,0,0,163,-2.014268,37.604747
F200,Breanna Martinez,Nzaui,"-1.252814, 37.484903",2023-09-01,Organic,Irrigated,Yes,14,4,29,17,9,19,18,0,7,0,0,0,901,1080,1221,629,1040,782,280,168,308,0,0,0,117,-1.252814,37.484903
F201,Lori Mcintosh,Thange,"-1.642441, 37.248635",2025-02-05,Conventional,Rain-fed,Yes,23,1,25,0,6,0,6,0,2,0,0,0,1235,757,1265,54,36,66,82,88,48,0,0,0,63,-1.642441,37.248635
F202,Ronald Gilbert,Ukia,"-1.757167, 38.079249",2020-10-18,Organic,Irrigated,No,27,7,0,26,48,9,20,4,52,0,0,0,56,91,63,861,978,546,1140,1748,1708,0,0,0,193,-1.757167,38.079249
F203,Michael Adkins,Kasikeu,"-1.886688, 37.825303",2020-01-26,Organic,Irrigated,Yes,7,74,19,7,26,0,39,19,14,0,0,0,1745,1477,1428,208,234,130,806,684,722,0,0,0,205,-1.886688,37.825303
F204,Jessica King,Nzaui,"-1.677391, 38.029542",2020-10-10,Organic,Rain-fed,Yes,1,8,0,4,24,13,15,11,15,0,0,0,56,104,104,665,819,593,860,698,863,0,0,0,91,-1.677391,38.029542
F205,Hannah Goodwin,Sultan Hamud,"-1.491465, 37.856244",2024-05-06,Conventional,Rain-fed,No,16,11,0,0,0,3,1,20,11,0,11,7,143,154,165,66,138,144,373,596,517,269,296,347,80,-1.491465,37.856244
F206,Brenda Cervantes,Mbooni,"-1.61411, 38.100431",2022-01-06,Conventional,Rain-fed,No,45,42,0,53,35,2,39,0,19,15,0,0,546,462,588,442,369,356,817,874,817,0,0,0,250,-1.61411,38.100431
F207,Frank Reed,Kibwezi,"-1.259603, 38.07924",2024-04-13,Conventional,Irrigated,No,12,3,4,4,8,3,2,10,0,9,6,0,167,143,137,213,226,229,80,70,50,66,90,72,61,-1.259603,38.07924
F208,Thomas Davis,Nziu,"-2.089746, 37.871998",2022-05-25,Organic,Rain-fed,Yes,33,0,1,3,13,20,0,0,16,6,0,6,30,47,43,977,623,1011,448,544,752,204,156,252,98,-2.089746,37.871998
F209,Michael Edwards,Sultan Hamud,"-1.606194, 38.131038",2024-04-19,Organic,Irrigated,No,60,48,13,26,26,30,0,35,0,0,0,0,766,926,552,1164,1532,1022,210,175,315,0,0,0,238,-1.606194,38.131038
F210,Eric Sweeney,Nzaui,"-2.081137, 38.102225",2025-07-24,Conventional,Rain-fed,Yes,37,0,0,21,3,13,11,2,20,0,0,0,0,0,0,628,486,478,592,724,586,0,0,0,107,-2.081137,38.102225
F211,Kelsey Oliver,Mbooni,"-2.452823, 38.038775",2022-02-07,Organic,Irrigated,Yes,0,60,23,0,25,19,17,17,0,0,0,0,1433,1755,1557,866,705,1062,221,153,221,0,0,0,161,-2.452823,38.038775
F212,Anne Martinez,Kyemole,"-2.137502, 37.904644",2022-11-01,Conventional,Rain-fed,Yes,51,24,0,25,23,0,34,12,20,13,0,12,240,312,120,345,322,299,812,1104,528,432,360,432,214,-2.137502,37.904644
F213,David Ashley,Kilungu,"-1.802132, 37.811156",2020-05-02,Organic,Irrigated,No,4,17,25,0,9,7,11,0,0,0,1,0,1438,945,1096,425,357,330,0,0,0,7,8,13,74,-1.802132,37.811156
F214,Jill Williams,Mbooni,"-1.923024, 37.564528",2025-09-15,Organic,Rain-fed,Yes,63,0,34,19,0,0,31,27,20,28,0,0,884,714,1054,0,0,0,1142,1149,1010,0,0,0,222,-1.923024,37.564528
F215,Stephanie Luna,Wote,"-1.277567, 38.043997",2024-12-27,Organic,Irrigated,Yes,0,25,0,16,1,4,3,0,18,20,20,0,200,275,175,191,155,94,576,504,576,180,140,140,107,-1.277567,38.043997
F216,Michael Boone,Kasikeu,"-2.073216, 37.932628",2022-12-06,Organic,Irrigated,No,61,8,28,22,36,0,6,0,9,4,0,21,700,1104,1328,504,432,360,378,414,198,1029,693,672,195,-2.073216,37.932628
F217,Joshua Wagner,Kasikeu,"-2.431861, 38.007414",2025-04-11,Conventional,Irrigated,No,4,57,49,10,9,12,0,1,23,0,0,0,2449,2170,2072,345,621,336,1163,862,676,0,0,0,165,-2.431861,38.007414
F218,Jennifer Ballard,Kilungu,"-2.026482, 38.115986",2021-05-28,Organic,Irrigated,No,38,38,33,0,3,7,17,11,0,0,2,0,1129,1959,1639,207,354,213,121,77,132,16,28,24,149,-2.026482,38.115986
F219,Joshua Williams,Nziu,"-1.557773, 37.605122",2025-03-07,Organic,Rain-fed,Yes,9,0,32,0,8,12,26,5,36,7,8,18,896,1248,1248,508,516,352,997,1794,1752,654,904,840,161,-1.557773,37.605122
F220,Katherine Cuevas,Kilungu,"-1.23079, 37.993426",2022-07-04,Organic,Rain-fed,Yes,11,20,11,7,7,11,5,0,16,0,0,0,730,731,607,470,588,318,736,528,448,0,0,0,88,-1.23079,37.993426
F221,Amber Hull,Thange,"-2.259262, 37.483084",2023-01-07,Conventional,Irrigated,Yes,65,2,0,47,1,18,20,49,13,0,0,0,18,28,10,871,655,617,1128,882,681,0,0,0,215,-2.259262,37.483084
F222,Christopher Lozano,Kilungu,"-1.207847, 37.481066",2024-11-08,Conventional,Rain-fed,Yes,18,7,26,0,4,33,0,36,10,0,0,0,1176,1311,815,774,919,1314,410,460,426,0,0,0,134,-1.207847,37.481066
F223,Brad Wu,Emali,"-1.244978, 37.851412",2022-04-28,Conventional,Irrigated,Yes,16,19,0,7,15,13,0,0,8,0,0,0,133,228,133,566,590,428,368,216,384,0,0,0,78,-1.244978,37.851412
F224,Nancy Kim,Ukia,"-1.332315, 37.688852",2025-01-02,Conventional,Irrigated,No,24,27,0,18,0,4,0,23,5,0,0,0,270,189,189,132,100,192,371,442,547,0,0,0,101,-1.332315,37.688852
F225,Vincent Alvarez,Makindu,"-1.415411, 37.561623",2020-11-30,Conventional,Rain-fed,Yes,3,72,45,0,17,0,9,14,23,0,0,0,2493,2160,2961,153,187,85,1023,668,986,0,0,0,183,-1.415411,37.561623
F226,Alicia Brown,Makindu,"-1.364873, 37.460043",2021-06-09,Organic,Rain-fed,Yes,62,0,18,16,24,25,0,6,31,0,0,0,468,648,630,890,1288,1016,1523,1301,1219,0,0,0,182,-1.364873,37.460043
F227,Felicia Mejia,Kilungu,"-2.186342, 37.410932",2023-04-02,Conventional,Rain-fed,Yes,0,34,46,7,26,1,21,33,0,0,0,0,1398,2490,1522,245,274,310,297,198,495,0,0,0,168,-2.186342,37.410932
F228,Laurie Madden,Kalawa,"-2.431227, 37.431487",2025-05-10,Organic,Irrigated,No,73,5,7,36,20,1,25,0,0,0,23,0,317,246,351,189,330,168,0,0,0,230,184,253,190,-2.431227,37.431487
F229,Curtis Johnson,Kilungu,"-1.95368, 37.411247",2022-08-23,Organic,Irrigated,No,0,17,53,17,35,19,5,0,18,0,0,0,2735,1408,2235,929,1087,717,612,756,702,0,0,0,164,-1.95368,37.411247
F230,April Jackson,Kilungu,"-2.32116, 37.52257",2024-09-19,Organic,Rain-fed,No,48,18,14,0,11,22,0,0,6,0,0,9,496,652,458,1210,770,814,240,294,300,297,198,207,128,-2.32116,37.52257
F231,Kiara Martinez,Kyemole,"-1.990854, 37.849164",2024-08-10,Conventional,Irrigated,No,21,23,28,13,0,12,5,21,0,4,0,0,1090,1123,1409,396,348,252,210,126,231,0,0,0,127,-1.990854,37.849164
F232,Sarah West,Nzaui,"-1.902467, 37.525919",2021-07-09,Conventional,Irrigated,Yes,64,12,67,1,14,21,0,0,0,0,0,15,3245,2879,2056,1064,560,1162,0,0,0,660,495,630,194,-1.902467,37.525919
F233,Michael Barrett,Kyemole,"-1.768596, 37.433365",2024-09-05,Organic,Rain-fed,Yes,11,2,11,11,4,0,7,4,2,0,0,5,414,304,270,48,52,32,106,108,116,180,150,210,57,-1.768596,37.433365
F234,Danny Tyler,Nzaui,"-1.572201, 37.56469",2021-12-14,Organic,Rain-fed,Yes,21,45,29,0,14,3,0,0,0,0,0,0,1452,1327,1877,330,180,238,0,0,0,0,0,0,112,-1.572201,37.56469
